iter	Passed	Remaining
0	60	60084
1	68	34340
2	77	25624
3	84	21095
4	88	17661
5	97	16172
6	104	14865
7	114	14181
8	121	13429
9	130	12903
10	134	12086
11	138	11430
12	146	11092
13	150	10573
14	153	10103
15	159	9833
16	166	9618
17	170	9300
18	178	9200
19	182	8963
20	187	8737
21	192	8568
22	197	8389
23	201	8208
24	206	8047
25	210	7898
26	215	7753
27	218	7596
28	224	7501
29	228	7390
30	232	7263
31	236	7164
32	241	7071
33	246	7015
34	253	6987
35	261	6996
36	272	7095
37	287	7276
38	292	7201
39	305	7338
40	312	7310
41	318	7271
42	323	7200
43	327	7111
44	332	7059
45	337	6989
46	341	6918
47	345	6859
48	350	6804
49	354	6740
50	358	6679
51	365	6662
52	369	6610
53	374	6555
54	379	6527
55	384	6481
56	388	6426
57	392	6370
58	397	6346
59	402	6301
60	405	6249
61	411	6219
62	415	6181
63	419	6139
64	424	6100
65	430	6085
66	434	6051
67	438	6009
68	443	5990
69	450	5981
70	456	5968
71	460	5941
72	464	5904
73	470	5881
74	474	5851
75	478	5814
76	481	5776
77	488	5771
78	492	5740
79	496	5705
80	500	5677
81	505	5659
82	509	5629
83	513	5596
84	517	5573
85	522	5550
86	529	5561
87	537	5568
88	543	5561
89	547	5539
90	553	5524
91	557	5506
92	562	5484
93	567	5471
94	572	5455
95	576	5432
96	581	5411
97	585	5389
98	590	5378
99	595	5356
100	600	5348
101	605	5330
102	609	5307
103	613	5286
104	618	5270
105	624	5262
106	628	5245
107	634	5242
108	639	5225
109	643	5203
110	647	5183
111	652	5175
112	656	5154
113	660	5131
114	668	5145
115	673	5130
116	676	5108
117	683	5109
118	690	5112
119	698	5119
120	702	5103
121	706	5084
122	709	5062
123	718	5073
124	722	5057
125	726	5038
126	732	5034
127	737	5022
128	741	5005
129	746	4992
130	751	4982
131	755	4970
132	760	4959
133	767	4960
134	772	4947
135	777	4940
136	781	4925
137	786	4910
138	790	4898
139	796	4894
140	801	4883
141	805	4869
142	810	4858
143	815	4845
144	820	4835
145	825	4828
146	832	4832
147	838	4824
148	844	4825
149	850	4820
150	856	4815
151	865	4826
152	870	4816
153	875	4811
154	882	4809
155	886	4795
156	890	4782
157	896	4777
158	900	4765
159	905	4753
160	909	4738
161	913	4722
162	916	4707
163	920	4692
164	924	4680
165	929	4670
166	933	4658
167	937	4644
168	943	4640
169	948	4629
170	951	4614
171	956	4603
172	962	4600
173	966	4588
174	970	4575
175	976	4570
176	980	4560
177	984	4546
178	988	4534
179	993	4526
180	998	4516
181	1002	4503
182	1006	4493
183	1011	4484
184	1015	4472
185	1018	4458
186	1024	4453
187	1028	4444
188	1032	4431
189	1036	4417
190	1041	4411
191	1045	4401
192	1050	4390
193	1055	4386
194	1060	4377
195	1065	4372
196	1075	4382
197	1083	4388
198	1091	4394
199	1096	4384
200	1100	4374
201	1107	4373
202	1112	4369
203	1116	4356
204	1123	4356
205	1127	4346
206	1132	4336
207	1136	4328
208	1141	4321
209	1147	4315
210	1152	4308
211	1157	4302
212	1162	4296
213	1168	4290
214	1173	4285
215	1178	4277
216	1182	4267
217	1190	4268
218	1194	4261
219	1199	4252
220	1205	4248
221	1210	4242
222	1215	4234
223	1221	4230
224	1226	4224
225	1230	4214
226	1235	4208
227	1240	4200
228	1245	4193
229	1250	4185
230	1254	4177
231	1258	4165
232	1262	4154
233	1266	4144
234	1269	4132
235	1273	4122
236	1278	4114
237	1282	4106
238	1286	4096
239	1290	4085
240	1293	4074
241	1297	4064
242	1302	4056
243	1306	4046
244	1309	4035
245	1314	4029
246	1319	4023
247	1324	4014
248	1327	4004
249	1333	4000
250	1338	3994
251	1342	3984
252	1346	3976
253	1352	3970
254	1356	3962
255	1360	3952
256	1366	3950
257	1372	3948
258	1376	3939
259	1383	3937
260	1387	3928
261	1391	3919
262	1398	3918
263	1402	3910
264	1406	3901
265	1413	3900
266	1418	3893
267	1421	3883
268	1427	3877
269	1431	3871
270	1437	3867
271	1441	3858
272	1448	3856
273	1452	3847
274	1457	3841
275	1463	3839
276	1468	3833
277	1473	3826
278	1480	3825
279	1484	3817
280	1489	3811
281	1495	3806
282	1500	3800
283	1504	3792
284	1509	3785
285	1515	3782
286	1519	3774
287	1523	3767
288	1529	3761
289	1533	3754
290	1538	3747
291	1542	3740
292	1548	3736
293	1552	3728
294	1556	3720
295	1562	3715
296	1566	3708
297	1571	3702
298	1578	3699
299	1582	3692
300	1587	3686
301	1594	3685
302	1599	3678
303	1603	3670
304	1608	3664
305	1612	3658
306	1617	3651
307	1621	3642
308	1627	3640
309	1632	3633
310	1636	3626
311	1644	3626
312	1649	3619
313	1654	3614
314	1660	3610
315	1664	3603
316	1670	3599
317	1675	3592
318	1678	3583
319	1682	3575
320	1688	3570
321	1693	3565
322	1696	3556
323	1702	3551
324	1706	3544
325	1710	3536
326	1717	3534
327	1721	3526
328	1725	3518
329	1731	3516
330	1735	3508
331	1739	3500
332	1743	3492
333	1749	3488
334	1753	3481
335	1757	3472
336	1763	3470
337	1768	3463
338	1771	3454
339	1775	3446
340	1781	3443
341	1785	3435
342	1789	3427
343	1795	3423
344	1799	3417
345	1803	3409
346	1807	3401
347	1813	3398
348	1817	3390
349	1821	3383
350	1828	3381
351	1832	3374
352	1836	3366
353	1841	3361
354	1846	3355
355	1851	3348
356	1855	3341
357	1860	3335
358	1864	3329
359	1868	3321
360	1872	3315
361	1878	3311
362	1882	3303
363	1887	3298
364	1894	3296
365	1899	3290
366	1906	3288
367	1912	3283
368	1916	3276
369	1922	3273
370	1927	3267
371	1931	3260
372	1940	3262
373	1945	3256
374	1953	3255
375	1958	3250
376	1962	3243
377	1966	3236
378	1972	3231
379	1977	3227
380	1983	3221
381	1990	3220
382	1994	3213
383	1999	3208
384	2006	3204
385	2010	3197
386	2015	3191
387	2021	3189
388	2026	3182
389	2029	3175
390	2037	3172
391	2042	3167
392	2046	3160
393	2054	3159
394	2059	3153
395	2063	3148
396	2070	3144
397	2074	3138
398	2078	3130
399	2085	3127
400	2089	3121
401	2093	3113
402	2097	3106
403	2102	3101
404	2106	3095
405	2111	3088
406	2117	3084
407	2121	3078
